epoch,timestamp,cpu_percent,ram_percent,gpu_percent,gpu_memory_percent,classification_accuracy,classification_loss,loss,segmentation_loss,segmentation_mse,val_classification_accuracy,val_classification_loss,val_loss,val_segmentation_loss,val_segmentation_mse
0,2025-05-31 22:25:25,87.0,66.8,10.0,45.49153645833333,0.7880712747573853,0.5304899215698242,0.712059736251831,0.18136969208717346,0.05321516841650009,0.865390956401825,0.3527546525001526,0.4996049106121063,0.14685608446598053,0.04260937124490738
1,2025-05-31 22:30:01,86.6,67.8,44.0,47.03776041666667,0.857614278793335,0.3560211658477783,0.49120622873306274,0.13503307104110718,0.03905817121267319,0.886836051940918,0.29734817147254944,0.4304552376270294,0.1330903172492981,0.038322482258081436
2,2025-05-31 22:34:36,85.4,67.3,11.0,46.337890625,0.879062831401825,0.30085641145706177,0.4233311712741852,0.12236155569553375,0.035180799663066864,0.8917849063873291,0.27301526069641113,0.398086279630661,0.12505696713924408,0.035925738513469696
3,2025-05-31 22:39:24,88.4,68.7,3.0,48.50260416666667,0.8886322379112244,0.2772887051105499,0.3916132152080536,0.11446193605661392,0.032734762877225876,0.9102606177330017,0.24626831710338593,0.3694941997528076,0.1231996938586235,0.03520955145359039
4,2025-05-31 22:44:13,88.7,69.9,2.0,48.33984375,0.901418924331665,0.253572016954422,0.36222097277641296,0.10852741450071335,0.03092474490404129,0.916199266910553,0.23302263021469116,0.35790395736694336,0.12485481053590775,0.03549239784479141
5,2025-05-31 22:48:58,87.2,70.5,0.0,48.6328125,0.9026563167572021,0.24643397331237793,0.3507959544658661,0.10424643754959106,0.02961820363998413,0.9194985032081604,0.22511973977088928,0.3437315821647644,0.11858632415533066,0.0337950699031353
6,2025-05-31 22:53:34,86.4,68.4,1.0,48.66536458333333,0.9100808501243591,0.23326300084590912,0.3337598443031311,0.10038193315267563,0.028410188853740692,0.9247773289680481,0.21803468465805054,0.33933332562446594,0.1212661862373352,0.034690819680690765
7,2025-05-31 22:58:06,86.0,67.6,0.0,47.91666666666667,0.9129681587219238,0.22367015480995178,0.32103410363197327,0.09741660952568054,0.02748924307525158,0.9204882979393005,0.2171855866909027,0.335392564535141,0.1181814968585968,0.03338336572051048
8,2025-05-31 23:02:37,85.4,68.5,0.0,47.68880208333333,0.9144530892372131,0.21902945637702942,0.3133258819580078,0.09420136362314224,0.026502495631575584,0.9254371523857117,0.20914281904697418,0.33092740178108215,0.1217615157365799,0.03428550809621811
9,2025-05-31 23:07:14,86.0,68.3,1.0,47.77018229166667,0.9181653261184692,0.21231573820114136,0.3045225441455841,0.09210818260908127,0.02585797756910324,0.9234576225280762,0.21093560755252838,0.3318590223789215,0.12090547382831573,0.033413223922252655
